,date,open,high,low,close,volume,Name
1004,2015-11-09,198.71,198.88,193.76,194.9,865780,AAP
1005,2015-11-10,193.77,196.12,193.77,194.11,1379738,AAP
1006,2015-11-11,194.37,196.07,193.38,194.67,1315822,AAP
1007,2015-11-12,173.75,177.0,164.23,164.64,6955577,AAP
1008,2015-11-13,163.31,165.33,161.19,161.62,3092729,AAP
1009,2015-11-14,163.31,165.33,161.19,161.62,3092729,AAP
1010,2015-11-15,163.31,165.33,161.19,161.62,3092729,AAP
1011,2015-11-16,161.0,164.53799999999998,159.69,164.22,1494074,AAP
1012,2015-11-17,165.09,167.22,162.53,164.09,1170997,AAP
1013,2015-11-18,164.37,164.67,162.6,164.44,784765,AAP
1014,2015-11-19,164.19,165.27,162.22,162.37,684246,AAP
1015,2015-11-20,162.86,165.1,162.55,162.82,733429,AAP
1016,2015-11-21,162.86,165.1,162.55,162.82,733429,AAP
1017,2015-11-22,162.86,165.1,162.55,162.82,733429,AAP
1018,2015-11-23,162.68,164.5,161.5,162.62,895911,AAP
1019,2015-11-24,160.82,163.86,160.82,163.19,754505,AAP
1020,2015-11-25,164.0,167.07,163.65,164.3,919310,AAP
1021,2015-11-26,164.0,167.07,163.65,164.3,919310,AAP
1022,2015-11-27,164.88,164.88,162.83,164.84,293399,AAP
1023,2015-11-28,164.88,164.88,162.83,164.84,293399,AAP
1024,2015-11-29,164.88,164.88,162.83,164.84,293399,AAP
1025,2015-11-30,164.69,164.75,162.61,162.73,1329331,AAP
1026,2015-12-01,162.99,163.98,161.17,162.34,952971,AAP
1027,2015-12-02,162.21,163.22,157.09,157.93,1331781,AAP
1028,2015-12-03,158.1,159.23,153.25,154.78,1320540,AAP
1029,2015-12-04,155.06,156.33,154.18,155.83,996339,AAP
1030,2015-12-05,155.06,156.33,154.18,155.83,996339,AAP
1031,2015-12-06,155.06,156.33,154.18,155.83,996339,AAP
1032,2015-12-07,155.68,156.9,150.62,151.22,1358456,AAP
1033,2015-12-08,150.61,153.08,149.0,149.88,1485523,AAP
1034,2015-12-09,149.75,156.26,149.65,153.21,1699878,AAP
1035,2015-12-10,153.17,154.23,150.33,151.76,1027742,AAP
1036,2015-12-11,149.22,150.83,147.79,148.85,1012935,AAP
